Year,s_pressure,av_temp,sp_humidity,re_humidity,w_speed,t_max,t_min,precipitation,all_sky_par,cl_sky_par,yield
2001,99.76,24.62,16.42,83.38,1.7,33.2,14.21,2562.89,94.16,123.71,195200.00
2002,99.75,24.96,16.6,82.81,1.73,34.29,13.51,2061.91,93.78,122.8,197600.00
2003,99.74,25.26,17.09,84.25,1.61,33.98,14.19,1887.89,93.04,121.49,199900.00
2004,99.73,25.25,17.09,84.19,1.67,33.94,15.39,2130.47,94.32,120.88,196000.00
2005,99.7,25.5,17.4,84.44,1.74,33.23,13.7,1613.67,92.43,120.6,198011.00
2006,99.71,25.3,17.21,84.62,1.67,33.33,13.45,1750.78,94.23,121.39,198550.00
2007,99.71,24.94,16.78,83.88,1.71,33.48,13.39,2362.5,93,121.31,195000.00
2008,99.68,25.03,16.66,83,1.62,33.8,14.83,1613.67,94.54,121.7,199900.00
2009,99.71,25.64,17.46,84.62,1.55,33.57,16.06,1270.9,93.25,121.15,198000.00
2010,99.71,25.57,17.46,84.69,1.63,33.94,16.26,1829.88,92.81,121.5,196190.00
2011,99.69,25.06,16.91,84.25,1.65,33.61,13.94,1840.43,92.36,120.48,220140.00
2012,99.74,25.2,17.15,85.31,1.62,33.62,15.69,1829.88,92.12,120.76,236100.00
2013,99.76,25.44,17.4,85.25,1.64,33.03,15.29,1455.47,91.88,121.65,235800.00
2014,99.77,25.58,17.15,83.44,1.55,34.11,16.58,1202.34,93.17,121.9,240200.00
2015,99.8,25.39,16.85,82.56,1.78,34.45,12.54,1529.3,91.96,120.41,242000.00
2016,99.78,25.61,17.03,82.25,1.65,35.65,15.24,1908.98,92.86,120.17,245000.00
2017,99.74,25.68,17.27,83.56,1.52,33.94,17.05,1597.85,93.83,119.71,244500.00
2018,99.74,25.65,16.97,82.12,1.64,34.79,13.24,1381.64,94.74,120.99,246000.00
2019,99.75,26.13,17.09,81.25,1.62,35.35,16.36,1123.24,93.74,122.64,247000.00
2020,99.76,26.21,16.66,79.38,1.66,38.16,15.19,1239.26,96.21,122.01,248800.00
2021,99.71,26.68,16.54,78.44,1.63,38.05,16.93,822.6,94.97,120.7,249000.00
2022,99.71,26.77,15.69,74.75,1.77,40.5,16.77,1255.04,93.16,120.62,250100.00
